playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Oshae Brissett,2018-19,Syracuse,ACC,Forward,34,34,33,4.3,11,0.393,3.4,7.7,0.445,0.9,3.3,0.27,2.9,4.4,0.66,2.2,5.3,7.5,1.8,1,0.8,2,2.1,12.4,,10.09,2,203,95,0
Phil Booth,2018-19,Villanova,Big East,Guard,36,36,35.1,6.1,13.9,0.434,3.4,6.8,0.506,2.6,7.2,0.367,3.8,5.1,0.749,0.4,3.5,3.9,3.8,0.8,0.2,2.3,1.9,18.6,,7.97,5,190,87,0
De'Andre Hunter,2018-19,Virginia,ACC,Guard,38,38,32.5,5.4,10.4,0.52,4.2,7.6,0.55,1.2,2.8,0.438,3.2,4.1,0.783,1.4,3.7,5.1,2,0.6,0.6,1.4,2,15.2,,10.15,2,201,102,0
Tacko Fall,2018-19,UCF,AAC,Center,33,33,24.9,4.7,6.2,0.748,4.7,6.2,0.748,0,0,,1.8,4.9,0.362,2.5,5.1,7.6,0.5,0.2,2.6,1.8,2.8,11.1,,5.58,4,229,140,0
Cam Reddish,2018-19,Duke,ACC,Forward,36,35,29.7,4.3,12,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,,11.97,1,203,98,0
Killian Tillie,2018-19,Gonzaga,WCC,Forward,15,0,16.6,2.3,4.7,0.5,1.4,2.5,0.553,0.9,2.1,0.438,0.6,0.9,0.643,0.8,3.1,3.9,1.5,0.7,0.7,0.7,2.9,6.2,,5.01,3,208,99,0
Bruno Fernando,2018-19,Maryland,Big Ten,Forward,34,33,30,5.1,8.4,0.607,5,8.1,0.618,0.1,0.3,0.3,3.3,4.3,0.779,2.9,7.7,10.6,2,0.6,1.9,2.8,2.7,13.6,,10.09,2,208,108,0
Andrew Nembhard,2018-19,Florida,SEC,Guard,36,36,32.9,2.9,7.1,0.414,2,4.3,0.458,1,2.8,0.347,1.2,1.5,0.764,0.2,2.7,2.9,5.4,1.2,0.1,2.1,1.7,8,,11.22,1,196,86,0
A.J. Lawson,2017-18,North Texas,CUSA,Guard,37,30,25.3,3.5,8.4,0.412,3.2,7,0.453,0.3,1.4,0.208,1.8,3.2,0.555,1.3,3.6,4.9,2.1,0.8,0.3,2,3.1,9,,-0.4,2,196,88,0
Keldon Johnson,2018-19,Kentucky,SEC,Guard,37,36,30.7,4.6,10.1,0.461,3.4,6.9,0.498,1.2,3.2,0.381,2.9,4.2,0.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,,10.29,1,198,95,0
Rui Hachimura,2018-19,Gonzaga,WCC,Forward,37,37,30.2,7.4,12.6,0.591,7,11.6,0.606,0.4,1,0.417,4.4,6,0.739,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2,19.7,,5.01,3,203,104,0
Naz Reid,2018-19,LSU,SEC,Forward,34,32,27.2,5,10.7,0.468,4.2,8.3,0.509,0.8,2.5,0.333,2.7,3.8,0.727,2.5,4.7,7.2,0.9,0.7,0.7,2.5,3.2,13.6,,9.15,1,208,113,0
Jordan Caroline,2018-19,Nevada,MWC,Forward,33,33,35.5,5.8,12.9,0.452,4.5,9.2,0.487,1.4,3.8,0.368,3.9,6.3,0.628,2.5,7.1,9.6,1.9,0.6,0.3,2.5,2.2,17,,2.68,4,201,104,1
Quentin Grimes,2018-19,Kansas,Big 12,Guard,36,36,27.4,2.9,7.7,0.384,1.4,3.3,0.444,1.5,4.4,0.34,1,1.6,0.603,0.5,2,2.5,2,0.6,0.2,1.9,2.4,8.4,,12.79,1,196,95,0
Zylan Cheatham,2018-19,Arizona State,Pac-12,Forward,34,34,32.4,4.2,7.9,0.534,3.9,7.1,0.543,0.3,0.7,0.44,3.4,5.5,0.618,2.1,8.2,10.3,3.2,0.8,0.8,3,2.7,12.1,,6.04,3,203,99,1
